id,input,output,source,letter,language,notes
156,Leo ni leo asemaye kesho ni mwongo,"Today is today, whoever says tomorrow is a liar.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,L,sw,
157,Lila na fila havitangamani,Good and bad do not mix.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,L,sw,
158,Lililompata peku na ungo litampata,What happens to a someone may happen to you.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,L,sw,
159,Linalopita hupishwa,What has passed is forgiven.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,L,sw,
160,Mafiga mawili hayainjiki chungu,Unity is strength.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
161,Mafuu hapatilizwi,A fool cannot be cured.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
162,Maisha ni bahati ifumbate,"Life is luck, so take it seriously.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
163,Maji ukiyavulia nguo huna budi kuyaoga,"When you do something, be ready to for its effects.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
164,Maji mafu mvuvi kafu,Something is done good under favorable conditions.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
165,Maji ya nazi hutafuta mvungulio,Good things waits for an opportunity.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
166,Maji yakimwagika hayazoleki,What has passed should be forgotten.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
167,Majuto ni mjukuu huja baada ya kitendo,Regret comes after the act.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
168,Makuukuu ya mwewe si mapya ya kengewa,A hawk’s leftovers are not new to a kite.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
169,Mali bila daftari hupotea bila habari,Wealth without a record disappears without a trace.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
170,Mali ilivunja nguu milima ikalala,When you are wealthy you can do anything.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
171,Mali ya bahili huliwa na mchwa,A miser’s wealth is eaten by ants.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
172,Mama mkwe hafungui mdomo,A mother-in-law should not talk stupidly.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
173,Mambo kangaja huenda yakaja,Bad things will come your way someday.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
174,Mashua ya maskini huzama mtoni,A poor person’s opinion doesn’t go far.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
175,Maskini hana kinyongo,A poor person has no grudge.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
176,Maskini hana rafiki,A poor person has no friends.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
177,"Maskini haokoti, akiokota huambiwa keba","A poor person does not bring change in a society, if he tries, he is criticized.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
178,Mavi usiyoyala wayawingiani kuku? (It is not wise to strife with was has passed) Mavi ya kale hayanuki,The past has no effect on your life.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
179,Mbio za sakafuni huishia ukingoni,Everything has an end.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
180,Mbiu ya mgambo ikilia kuna jambo,"When there is a siren, there is something wrong.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
181,Mbwa wa msasi mkali ni wakali pia,The dogs of a fierce hunter are also fierce.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
182,Mcha Mungu si mtovu,A God-fearing person is not wicked.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
183,Mchagua jembe si mkulima,A person who chooses the hoe is not a farmer.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
184,Mchakacho ujao haulengwi na jiwe,Future troubles are unpredictable and cannot be prevented.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
185,Mchama ago hanyeli huenda akauya papo,"It is not wise to despise one who has helped you, you may need him one day",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
186,Mchawi akifichua mirimo ya wachawi huuawa,A witch who reveals the secrets of other witches will be killed.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
187,Mchele mmoja mapishi mbalimbali,A work may be done in many different ways.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
188,Mchelea bahari si msafiri,When you fear you aren’t up for the task.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
189,Mchelea mwana kulia hulia yeye,(Avoiding necessary actions may lead to undesirable consequences.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
190,Mcheza hawi kiwete ngoma yataka matao,(A skilled person does not lose their skills; success requires effort.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
191,Mchimba kisima huingia mwenyewe,One who starts something is responsible for its completion.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
192,Mchonga mwiko hukimbiza mkono wake,A person engaged in mischief may end up being harmed by their actions.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
193,Mchovya asali hachovyi mara moja,A person who indulges in pleasure tends to repeat the experience.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
194,Mdomo siri ya gunda,Words hold the key to understanding.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
195,Meno ya mbwa hayaumani,People who know each other should not harm one another.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
196,Mfa maji haachi kutapatatapa,A desperate person continues seeking solutions.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
197,Mficha uchi hazai,A person who keeps troubles to himself will not find solutions.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
198,Mfinyanzi hulia gaeni,"One’s ability doesn’t help him, but benefits others.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
199,Mgaagaa na upwa hali wali mkavu,A person who seeks will find.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
200,Mganga hajigangi,A doctor does not treat themselves.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
201,Mgema akisifiwa tembo hulitia maji,"When someone is praised, they develop pride.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
202,Mgeni njoo mwenyeji apone,Good news is good to everyone.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
203,Mgomba haushindwi na mkunguwe,A person of strength is not intimidated by others.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
204,Mgonjwa haulizwi dawa,"When someone is clearly in need, help is given without asking.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
205,Miye nyumba ya udongo sihimili vishindo,A fragile situation or relationship cannot endure pressure.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
206,Mkaidi hafaidi hadi siku ya Iddi,Being obstinate brings no advantage.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
207,Mkamia maji hayanywi,A person in a favorable situation may not take advantage of it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
208,Mkata hana kinyongo,A poor person doesn’t hold grudges.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
209,Mkate mkavu wa nyumbani ni bora kuliko nyama ya shuwa ya pengine,A piece of dry bread from home is better than a roasted piece of meat from someone else’s home.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
210,Mke ni nguo mgomba ni kupalilia,"A wife is an essential part of a home, just as a hoe is crucial for farming.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
211,Mkokoto wa jembe si bure yao,Working hard brings rewards.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
212,Mkono mtupu haulambwi,You can’t get anything with an empty hand.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
213,Mkuki kwa nguruwe mtamu kwa mwanadamu mchungu,Something that is enjoyable to one person can be unpleasant to another.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
214,Mkulima ni mmoja walaji ni wengi,"One person does the work, but many people benefit from it.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
215,Mkwamba hauzai mzabibu,A bad seed will not produce good fruit.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
216,Mkware hajiingilii mwenyewe,A person can do better with the help of others.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
217,Mla mbuzi hulipa ngombe,A person who does something wrong will be punished.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
218,Mla nawe hafi nawe ila mzaliwa nawe,"A friend will run from you when you’re in trouble, but your own relatives will not.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
219,Mlimbua nchi ni mwananchi mwenyewe,The people who live in a country are the ones who should be responsible for it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
220,Mnyamaa kadumbu,A silent person perseveres.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
221,Mnyonge mnyongeni haki yake mpeni,Help the oppressed and give them their rights.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
222,Mnyonge hana haki mpaka mwenye nguvu apende,The oppressed have no rights until the powerful decide to give them.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
223,Minyonyore haunuki hupendeza mauaye,Something that is not attractive when alive can be beautiful when dead.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
224,Moja shika si kumi nenda rudi,"It is better to have something than nothing, even if it is not much.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
225,Moja ya mkononi yashida mia ya mbali,The less that you own is better than much that are far away.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
226,Mpanda farasi wawili hupasuka msamba,A person who tries to do two things at once will fail.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
227,Mpenzi hana kinyongo,A lover does not hold grudges.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
228,Mpiga ngumi ukuta huumia mkonowe,A person who fights against a wall will only hurt himself.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
229,Mrina haogopi nyuki,A brave person is not afraid of anything.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
230,Msafiri kafiri,A traveler is like a stranger.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
231,Mshale usio na unyoya hauendi mbali,"When you have no support, you will not go far.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
232,Mshika mawili moja humponyoka,A person who tries to do too much will fail.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
233,Mshonaji hachagui nguo,A tailor does not choose clothes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
234,Msi chembe wala uta si muwani,A person who is not ready is not worth.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
235,Msitu ni mpya na komba nao,"Without experience, you may find it hard for you to do something.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
236,Mstahimilivu hula mbivu,A patient person will eventually succeed.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
237,"Mtafitafi hula samaki, mtulivu hula nyama","A curious person will learn a lot, but a calm person will be content.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
238,Mtaka cha mvungu ni sharti ainame,A person who wants something must make an effort to achieve it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
239,Mtaka yote hukosa yote,A person who wants everything will end up with nothing.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
240,Mtambua ndwele ndiye mganga,A person who knows the cause of a disease can cure it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
241,Mtaratibu humshinda mwenye nguvu,A patient person will eventually defeat a powerful person.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
242,"Mtashi hana kinyongo, ajapowaswa hakomi",A person who is not easily offended will not be discouraged.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
243,Mtembezi hula miguu yake,A person who doesn’t settle for good ends up with nothing.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
244,Mteuzi heshi tamaa,A person who is greedy will not be able to make a choice.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
245,Mti upigwao mawe ni wenye matunda,Those who face challenges often reap rewards.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
246,Mtoto akililia wembe mpe,It implyies that one who insists on requesting should have it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
247,Mtoto musikivu ndiye abarikiwaye,A vigilant child is the blessed one.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
248,Mtoto wa nyoka ni nyoka,"Like father, like son.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
249,"Muamidi cha ndugu, hufa masikini",Relying solely on family support may lead to poverty.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
250,"Mume ni kazi, mke ni nguo",A husband provides for the family while the wife nurtures and cares.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
251,Mume wa mama ni baba,Respect your dad as a father figure.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
252,Mvi usiopambwa vyema huyua,Things that are not well-maintained will eventually deteriorate.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
253,Mvumilivu hula mbivu,Patience leads to good outcomes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
254,Mvuvi ndiye ajuaye pweza alipo,An expert in a field knows the ins and outs of it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
255,Mwamini Mungu si mtovu,Those who believe in God are honest and trustworthy.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
256,"Mwana kidonda, mjukuu kovu",A problem may persist through generations.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
257,Mwana maji wa kware kufa maji mazoea,People who are accustomed to something dangerous are not afraid of it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
258,Mwana wa mhunzi asiposana hufukuta,Children should learn the skills of their parents or ancestors.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
259,Mwana wa mhunzi asiposana huvuvia,Children should learn the skills of their parents or ancestors.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
260,Mwanamaji hutaraji kufa maji,People who are exposed to danger often expect to be harmed.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
261,Mwanzo wa ngoma ni lele,Things often start with a lot of excitement or commotion.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
262,Mwanzo wa mvua ni mawingu,Certain signs precede an event.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
263,Mwenda juu kipungu hafikii mbinguni,People should not set unrealistic goals for themselves.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
264,Mwenda pole hajikwai,It is better to take things slowly and carefully than to rush and make mistakes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
265,Mwenda tezi na omo marejeo ni ngamani,One who goes away from home will eventually return home – warning against arrogance.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
266,Mwenye dada hakosi shemeji,One with a sister won’t lack a brother-in-law.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
267,Mwenye kelele hana neno,One who makes a lot of noise has no substance – actions speak louder than words.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
268,Mwenye matende hana paja,Implyies that having something valuable may come with a disadvantage.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
269,Mwenye nguvu mpishe,Make way for the strong one – advising deference to those with power or authority.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
270,Mwili wa mwenzio ni kando ya mwilio,You know nothing about someone’s struggles.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
271,Mwizi akishikwa husema kaokota,"When a thief is caught, he claims he was just picking up something.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
272,Mwosha huoshwa,The one who bathes is bathed – suggesting mutual help.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
273,Mwosha husitiri maiti,Bathing doesn’t help a dead man.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
274,Mzaha mzaha hutumbuka usaha,Taking matters lightly may land you in trouble.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
275,Mzigo mzito mpe Mnyamwezi aubebe,Implyies that tasks should be assigned to those who can handle them.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
276,"Mzoea kutwaa, kutoa ni bangu",Getting used to taking but not giving is thieving.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
277,Mzoea udalali hawezi kazi ya duka,Being overly dependent on something may hinder progress.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
278,"Mzoea vya kunyonga, vya kuchinja hawezi",One who is used to handle something will not be able to do another task well.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
279,Mzungu wa kula hafundishwi mwana,A person who is used to luxury cannot be taught to be humble.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,M,sw,
280,Nahodha hodari haogopi mawimbi,A good leader is not afraid of challenges.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
281,Nazi mbovu harabu ya nzima,One bad apple can spoil the whole bunch.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
282,Ncha ikikosa mshale mzima hukosa,"If the tip is missing, the arrow is useless.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
283,Ndaro haina neno,Pride is not necessary about talking about yourself.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
284,Ndege mjanja hunaswa kwenye tundu bovu,A clever person can be tricked by a simple mistake.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
285,Ndege wasiofahamu ulimbo hunaswa kumi kumi,People who are ignorant of a danger are likely to fall victim to it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
286,Ndoto njema haihadithiwi,Good dreams should not be shared.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
287,Ndovu hashindwi na mkongawe,A large and powerful person cannot be defeated by a small and weak person.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
288,"Ndugu chungu, jirani mkungu",A close relative can be more harmful than a neighbor.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
289,Neno la mbali ni usiku wa giza,A message from a distant place is like a dark night.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
290,Ngalawa isiyo na mirengu haisalimiki,A boat without oars is doomed.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
291,Ngoja ngoja yaumiza matumbo,Procrastination can be harmful.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
292,Ngozi ivute ili maji,Do something before it is too late.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
293,"Nguo ya kuazima, haisitiri matako",Something you don’t own has no lasting benefits.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
294,Ngombe haelemewi na nunduye,You should always bear you responsibilities.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
295,Ngombe mwenye tume ndiye achinjwaye,"When you fear, people will not respect you.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
296,"Nimekula asali udogoni, utamu ungali gegoni",The sweetness of childhood memories still lingers.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
297,Njaa ya leo ni shibe ya kesho,"Hunger today, satisfaction tomorrow.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
298,Njia ya mwongo ni fupi,The path of a liar is short.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
299,"Nyani haoni kundule, huliona la mwenziwe","A stupid person does not see their defects, but sees those of others.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
300,Nyota ya mtu kuzimika,A person’s star can fade.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
301,Nyumba ya mgumba haina kilio,A childless woman’s house does not have crying.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
302,Nyumba ya udongo haihimili kishindo,A house made of mud cannot withstand a strong wind.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
303,Nzi kufa juu ya kidonda si haramu,It is not wrong for a fly to die on a wound.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,N,sw,
304,"Ondoa dari, uezeke paa","Get rid of obstructing things in your life, and rebuild it.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,O,sw,
305,Oto la kuku usilaze kicheche,Do not trust someone with your own things.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,O,sw,
306,Pahala pa itifaki ikirahi haipiti,A place where there is agreement there is no disagreements.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
307,Paka akiondoka panya hujitawala,"When there is no authority, people will govern themselves.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
308,Paka akiondoka panya hutawala,"When there is no one in charge, people will do the way they please.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
309,Paka hakubali kulala chali,Don’t agree to do something if it is not aligned with your customs.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
310,Paka mafuta kwa mgongo wa chupa,To be a liar.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
311,"Palilia mkoche, mnazi wende na nyasi",You should prioritize important things first.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
312,Panapo udhiapenyeza rupia,Where there is a problem there is a way.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
